"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 4"
"Sample Count: 413"
"Start Time: 20/11/2025 11:08:53.4"
"Scan Rate: 2.48399996757507"
"Sample","Time (s)","PH1 (°C)","PH3 (°C)","PH2 (°C)","Ambient (°C)"
"214","1:26.2","106.061","129.907","116.683","20.925"
"215","1:26.6","106.271","130.211","117.015","20.926"
"216","1:27.0","106.499","130.524","117.323","20.928"
"217","1:27.4","106.759","131.001","117.647","20.930"
"218","1:27.8","107.007","131.260","117.982","20.925"
"219","1:28.2","107.245","131.626","118.297","20.922"
"220","1:28.6","107.560","132.007","118.640","20.920"
"221","1:29.0","107.881","132.433","118.970","20.914"
"222","1:29.4","108.113","132.624","119.319","20.918"
"223","1:29.8","108.370","132.856","119.653","20.919"
"224","1:30.2","108.701","133.194","120.038","20.916"
"225","1:30.6","108.994","133.662","120.352","20.918"
"226","1:31.0","109.277","133.886","120.704","20.917"
"227","1:31.4","109.531","134.158","121.040","20.916"
"228","1:31.8","109.835","134.448","121.361","20.916"
"229","1:32.2","110.165","134.810","121.703","20.916"
"230","1:32.6","110.421","135.237","122.051","20.920"
"231","1:33.0","110.709","135.615","122.385","20.912"
"232","1:33.4","111.066","135.947","122.698","20.916"
"233","1:33.8","111.430","136.277","123.056","20.925"
"234","1:34.2","111.748","136.649","123.413","20.922"
"235","1:34.6","112.211","136.975","123.787","20.929"
"236","1:35.0","112.606","137.277","124.155","20.921"
"237","1:35.4","112.875","137.577","124.489","20.929"
"238","1:35.8","113.190","137.882","124.773","20.928"
"239","1:36.2","113.495","138.162","125.077","20.930"
"240","1:36.6","113.791","138.409","125.415","20.927"
"241","1:37.0","114.016","138.729","125.743","20.926"
"242","1:37.4","114.306","138.991","126.091","20.923"
"243","1:37.8","114.616","139.333","126.421","20.911"
"244","1:38.2","114.905","139.767","126.759","20.912"
"245","1:38.6","115.238","140.302","127.094","20.923"
"246","1:39.0","115.637","140.583","127.429","20.914"
"247","1:39.4","115.986","140.869","127.737","20.924"
"248","1:39.8","116.305","141.183","128.083","20.912"
"249","1:40.2","116.729","141.554","128.427","20.976"
"250","1:40.6","117.098","141.956","128.785","20.979"
"251","1:41.0","117.500","142.296","129.074","20.987"
"252","1:41.4","117.836","142.622","129.417","20.981"
"253","1:41.9","118.253","142.974","129.766","20.982"
"254","1:42.3","118.707","143.341","130.128","20.985"
"255","1:42.7","119.119","143.622","130.422","20.983"
"256","1:43.1","119.474","143.944","130.758","20.979"
"257","1:43.5","119.819","144.333","131.067","20.980"
"258","1:43.9","120.249","144.704","131.407","20.979"
"259","1:44.3","120.600","145.069","131.749","20.975"
"260","1:44.7","120.948","145.342","132.031","20.979"
"261","1:45.1","121.335","145.534","132.273","20.983"
"262","1:45.5","121.644","145.770","132.573","20.979"
"263","1:45.9","121.920","146.108","132.869","20.971"
"264","1:46.3","122.299","146.468","133.204","20.971"
"265","1:46.7","122.589","146.823","133.530","20.975"
"266","1:47.1","122.882","147.147","133.833","20.979"
"267","1:47.5","123.135","147.480","134.127","20.991"
"268","1:47.9","123.355","147.797","134.446","20.984"
"269","1:48.3","123.547","148.165","134.751","20.980"
"270","1:48.7","123.798","148.532","135.063","20.975"
"271","1:49.1","124.103","148.905","135.383","20.971"
"272","1:49.5","124.413","149.222","135.701","20.982"
"273","1:49.9","124.815","149.469","135.981","20.981"
"274","1:50.3","125.291","149.808","136.370","20.980"
"275","1:50.7","125.644","150.105","136.675","20.982"
"276","1:51.1","125.956","150.449","136.992","20.969"
"277","1:51.5","126.294","151.045","137.321","20.970"
"278","1:51.9","126.517","151.225","137.656","20.970"
"279","1:52.3","126.821","151.470","137.942","20.973"
"280","1:52.7","126.985","151.702","138.255","20.979"
"281","1:53.1","127.028","151.988","138.549","20.989"
"282","1:53.5","127.356","152.257","138.861","20.957"
"283","1:53.9","127.649","152.549","139.174","20.958"
"284","1:54.3","127.943","152.785","139.470","20.973"
"285","1:54.7","128.210","153.039","139.727","20.978"
"286","1:55.1","128.435","153.309","140.017","20.974"
"287","1:55.5","128.662","153.631","140.309","20.960"
"288","1:55.9","128.892","153.912","140.614","20.965"
"289","1:56.3","129.141","154.250","140.897","20.966"
"290","1:56.7","129.389","154.556","141.184","20.968"
"291","1:57.1","129.380","154.812","141.445","20.969"
"292","1:57.6","129.414","155.075","141.678","20.972"
"293","1:58.0","129.577","155.329","141.910","20.978"
"294","1:58.4","129.742","155.654","142.188","20.972"
"295","1:58.8","129.932","155.941","142.457","20.967"
"296","1:59.2","130.186","156.222","142.742","20.967"
"297","1:59.6","130.481","156.509","143.021","20.963"
"298","2:00.0","130.742","156.847","143.309","20.956"
"299","2:00.4","131.018","157.189","143.641","20.966"
"300","2:00.8","131.295","157.456","143.892","20.965"
"301","2:01.2","131.415","157.701","144.163","20.964"
"302","2:01.6","131.578","157.998","144.433","20.963"
"303","2:02.0","131.777","158.290","144.708","20.955"
"304","2:02.4","132.072","158.594","144.988","20.950"
"305","2:02.8","132.357","158.853","145.275","20.955"
"306","2:03.2","132.625","159.094","145.519","20.962"
"307","2:03.6","132.871","159.372","145.775","20.956"
"308","2:04.0","133.115","159.636","146.057","20.957"
"309","2:04.4","133.336","159.923","146.313","20.947"
"310","2:04.8","133.632","160.229","146.572","20.948"
"311","2:05.2","134.003","160.559","146.848","20.953"
"312","2:05.6","134.306","160.869","147.120","20.952"
