"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 3"
"Sample Count: 1274"
"Start Time: 19/11/2025 17:11:59.3"
"Scan Rate: 3.31200003623962"
"Sample","Time (s)","Winding Temp (°C)","Ambient (°C)","Stator Body (°C)"
"411","2:04.1","79.336","20.961","36.419"
"412","2:04.4","79.460","20.966","36.519"
"413","2:04.7","79.499","20.964","36.559"
"414","2:05.0","79.615","20.951","36.638"
"415","2:05.3","79.724","20.960","36.648"
"416","2:05.6","79.786","20.954","36.724"
"417","2:05.9","79.922","20.963","36.860"
"418","2:06.2","80.046","20.965","36.947"
"419","2:06.5","80.173","20.954","36.984"
"420","2:06.8","80.333","20.963","37.037"
"421","2:07.1","80.406","20.964","37.149"
"422","2:07.4","80.482","20.960","37.100"
"423","2:07.7","80.536","20.956","37.128"
"424","2:08.0","80.537","20.961","37.178"
"425","2:08.3","80.700","20.967","37.373"
"426","2:08.6","80.916","20.958","37.536"
"427","2:08.9","81.062","20.952","37.609"
"428","2:09.2","81.227","20.951","37.769"
"429","2:09.5","81.401","20.953","37.842"
"430","2:09.8","81.500","20.954","37.944"
"431","2:10.1","81.670","20.951","38.055"
"432","2:10.4","81.773","20.953","38.102"
"433","2:10.7","82.010","20.948","38.193"
"434","2:11.0","82.263","20.943","38.429"
"435","2:11.3","82.432","20.941","38.630"
"436","2:11.6","82.644","20.933","38.796"
"437","2:11.9","82.809","20.937","38.845"
"438","2:12.2","82.903","20.951","39.044"
"439","2:12.5","83.224","20.943","39.238"
"440","2:12.9","83.400","20.942","39.268"
"441","2:13.2","83.561","21.003","39.382"
"442","2:13.5","83.674","21.016","39.511"
"443","2:13.8","83.705","21.007","39.604"
"444","2:14.1","83.882","21.008","39.651"
"445","2:14.4","84.112","21.009","39.708"
"446","2:14.7","84.319","21.008","39.741"
"447","2:15.0","84.451","21.012","39.665"
"448","2:15.3","84.585","21.008","39.750"
"449","2:15.6","84.709","21.023","39.823"
"450","2:15.9","84.936","21.024","39.914"
"451","2:16.2","85.078","21.024","39.941"
"452","2:16.5","85.236","21.031","39.941"
"453","2:16.8","85.359","21.025","39.925"
"454","2:17.1","85.357","21.021","39.865"
"455","2:17.4","85.428","21.010","39.840"
"456","2:17.7","85.615","21.006","40.047"
"457","2:18.0","85.708","20.996","40.260"
"458","2:18.3","85.966","20.987","40.349"
"459","2:18.6","86.159","20.988","40.290"
"460","2:18.9","86.189","20.979","40.336"
"461","2:19.2","86.243","20.992","40.300"
"462","2:19.5","86.259","20.993","40.328"
"463","2:19.8","86.244","21.000","40.369"
"464","2:20.1","86.284","20.997","40.418"
"465","2:20.4","86.291","20.998","40.499"
"466","2:20.7","86.366","20.998","40.640"
"467","2:21.0","86.518","20.997","41.028"
"468","2:21.3","86.809","21.001","41.275"
"469","2:21.6","87.195","20.996","41.641"
"470","2:21.9","87.581","20.992","41.775"
"471","2:22.2","87.826","20.989","41.868"
"472","2:22.5","88.106","20.994","41.940"
"473","2:22.8","88.233","20.985","42.047"
"474","2:23.1","88.422","20.989","42.016"
"475","2:23.4","88.774","21.047","42.045"
"476","2:23.7","88.914","21.048","42.078"
"477","2:24.0","88.946","21.055","42.119"
"478","2:24.3","89.088","21.064","42.146"
"479","2:24.6","89.113","21.060","42.235"
"480","2:24.9","89.221","21.023","42.194"
"481","2:25.2","89.322","21.067","42.240"
"482","2:25.5","89.365","21.060","42.267"
"483","2:25.8","89.389","21.056","42.348"
"484","2:26.1","89.401","21.056","42.343"
"485","2:26.4","89.456","21.064","42.382"
"486","2:26.7","89.577","21.057","42.491"
"487","2:27.0","89.692","21.052","42.608"
"488","2:27.3","89.851","21.046","42.777"
"489","2:27.6","90.044","21.050","42.718"
"490","2:27.9","90.108","21.044","42.811"
"491","2:28.2","90.216","21.033","42.842"
"492","2:28.6","90.333","21.032","42.732"
"493","2:28.9","90.315","21.024","42.691"
"494","2:29.2","90.370","21.019","42.692"
"495","2:29.5","90.333","21.022","42.687"
"496","2:29.8","90.285","21.027","42.744"
"497","2:30.1","90.343","21.024","42.734"
"498","2:30.4","90.373","21.047","42.742"
"499","2:30.7","90.427","21.040","42.945"
"500","2:31.0","90.567","21.043","43.021"
"501","2:31.3","90.629","21.031","43.032"
"502","2:31.6","90.711","21.024","43.126"
"503","2:31.9","90.701","21.029","43.232"
"504","2:32.2","90.720","21.032","43.462"
"505","2:32.5","90.878","21.022","43.547"
"506","2:32.8","91.031","21.008","43.645"
"507","2:33.1","91.210","21.004","43.782"
"508","2:33.4","91.489","20.998","43.836"
"509","2:33.7","91.778","21.061","44.062"
"510","2:34.0","92.000","21.066","44.061"
"511","2:34.3","92.114","21.050","44.181"
"512","2:34.6","92.105","21.034","44.249"
"513","2:34.9","92.203","21.027","44.212"
"514","2:35.2","92.390","21.019","44.251"
"515","2:35.5","92.574","21.015","44.378"
"516","2:35.8","92.748","21.012","44.601"
"517","2:36.1","92.880","21.016","44.552"
"518","2:36.4","92.992","21.012","44.544"
"519","2:36.7","93.155","21.008","44.492"
"520","2:37.0","93.226","21.021","44.668"
"521","2:37.3","93.394","21.033","44.705"
"522","2:37.6","93.554","21.034","44.712"
"523","2:37.9","93.614","21.033","44.703"
"524","2:38.2","93.716","21.042","44.851"
"525","2:38.5","93.873","21.039","44.956"
"526","2:38.8","93.936","21.038","45.016"
"527","2:39.1","94.088","21.047","44.998"
"528","2:39.4","94.169","21.050","45.115"
"529","2:39.7","94.228","21.033","45.137"
"530","2:40.0","94.289","21.033","44.990"
"531","2:40.3","94.223","21.152","44.908"
"532","2:40.6","94.297","21.006","44.924"
"533","2:40.9","94.381","21.046","44.949"
"534","2:41.2","94.430","21.031","45.063"
"535","2:41.5","94.556","21.027","45.053"
"536","2:41.8","94.607","21.028","45.237"
"537","2:42.1","94.649","21.029","45.312"
"538","2:42.4","94.799","21.077","45.449"
"539","2:42.7","94.884","21.059","45.555"
"540","2:43.0","94.983","21.035","45.705"
"541","2:43.3","95.109","21.036","45.748"
"542","2:43.6","95.166","21.074","45.829"
"543","2:43.9","95.398","21.135","45.949"
"544","2:44.3","95.557","21.144","46.002"
"545","2:44.6","95.661","21.131","46.192"
"546","2:44.9","95.839","21.138","46.315"
"547","2:45.2","95.911","21.140","46.407"
"548","2:45.5","96.010","21.147","46.514"
"549","2:45.8","96.256","21.183","46.567"
"550","2:46.1","96.450","21.137","46.756"
"551","2:46.4","96.645","21.145","46.812"
"552","2:46.7","96.802","21.149","46.996"
"553","2:47.0","96.923","21.125","46.928"
"554","2:47.3","97.036","21.130","46.808"
"555","2:47.6","97.087","21.088","46.702"
"556","2:47.9","97.075","21.151","46.715"
"557","2:48.2","97.077","21.090","46.901"
"558","2:48.5","97.100","21.115","46.914"
"559","2:48.8","97.231","21.132","47.010"
"560","2:49.1","97.397","21.106","47.406"
"561","2:49.4","97.517","21.081","47.439"
"562","2:49.7","97.590","21.120","47.513"
"563","2:50.0","97.663","21.117","47.788"
"564","2:50.3","97.654","21.098","47.909"
"565","2:50.6","97.712","21.108","48.037"
"566","2:50.9","97.853","21.112","48.035"
"567","2:51.2","97.919","21.117","48.102"
"568","2:51.5","98.036","21.110","48.272"
"569","2:51.8","98.155","21.112","48.401"
"570","2:52.1","98.290","21.107","48.554"
"571","2:52.4","98.540","21.126","48.808"
"572","2:52.7","98.740","21.103","49.000"
"573","2:53.0","98.894","21.119","49.042"
"574","2:53.3","98.956","21.117","49.037"
"575","2:53.6","99.007","21.122","49.169"
"576","2:53.9","99.126","21.129","49.151"
"577","2:54.2","99.285","21.184","49.192"
"578","2:54.5","99.325","21.175","49.161"
"579","2:54.8","99.445","21.179","49.030"
"580","2:55.1","99.424","21.184","48.860"
"581","2:55.4","99.425","21.209","48.852"
"582","2:55.7","99.548","21.141","49.019"
"583","2:56.0","99.636","21.174","49.080"
"584","2:56.3","99.880","21.177","49.415"
"585","2:56.6","100.190","21.142","49.491"
"586","2:56.9","100.327","21.172","49.379"
"587","2:57.2","100.394","21.176","49.252"
"588","2:57.5","100.390","21.177","49.445"
"589","2:57.8","100.448","21.175","49.535"
"590","2:58.1","100.593","21.169","49.621"
"591","2:58.4","100.646","21.174","49.745"
"592","2:58.7","100.793","21.180","49.895"
"593","2:59.0","101.031","21.175","50.264"
"594","2:59.3","101.223","21.190","50.750"
"595","2:59.6","101.536","21.180","51.073"
"596","3:00.0","101.818","21.176","50.936"
"597","3:00.3","101.895","21.160","51.073"
"598","3:00.6","102.070","21.155","51.237"
"599","3:00.9","102.286","21.150","51.416"
"600","3:01.2","102.605","21.150","51.728"
"601","3:01.5","103.030","21.137","51.950"
"602","3:01.8","103.257","21.143","51.961"
"603","3:02.1","103.384","21.136","52.188"
"604","3:02.4","103.631","21.109","52.364"
"605","3:02.7","103.911","21.142","52.332"
"606","3:03.0","104.205","21.123","52.538"
"607","3:03.3","104.524","21.138","52.426"
"608","3:03.6","104.653","21.138","52.321"
"609","3:03.9","104.848","21.132","52.131"
"610","3:04.2","104.838","21.123","51.898"
