Time (s),Power (W),Stator Body (°C)
19.1,632.1631555555556,32.09057142857143
19.2,632.0337000000001,32.13014285714286
19.3,631.9042444444444,32.169714285714285
19.4,631.7747888888889,32.20928571428572
19.5,631.6453333333334,32.24885714285715
19.6,631.3037444444445,32.288428571428575
19.7,630.9621555555556,32.328
19.8,630.6205666666667,32.36914285714286
19.9,630.2789777777779,32.41028571428571
20.0,629.937388888889,32.45142857142857
20.1,629.5958,32.49257142857143
20.2,629.2542111111112,32.53371428571429
20.3,628.9126222222224,32.57485714285714
20.4,628.5710333333334,32.616
20.5,628.2294444444445,32.65714285714286
20.6,627.8878555555557,32.69828571428572
20.7,627.5462666666667,32.739428571428576
20.8,627.2046777777779,32.78057142857143
20.9,626.863088888889,32.821714285714286
21.0,626.5215000000001,32.862857142857145
21.1,626.1799111111112,32.904
21.2,625.8383222222224,32.94471428571429
21.3,625.4967333333335,32.98542857142857
21.4,625.1551444444445,33.02614285714286
21.5,624.8135555555557,33.066857142857145
21.6,624.4719666666668,33.10757142857143
21.7,624.1303777777779,33.14828571428571
21.8,623.788788888889,33.189
21.9,623.4472000000002,33.228857142857144
22.0,623.1056111111113,33.26871428571429
22.1,622.7640222222224,33.30857142857143
22.2,622.4224333333335,33.34842857142857
22.3,622.0808444444447,33.388285714285715
22.4,621.7392555555557,33.42814285714286
22.5,621.3976666666669,33.468
22.6,621.7240000000002,33.510000000000005
22.7,622.0503333333335,33.552
22.8,622.3766666666669,33.594
22.9,622.7030000000002,33.636
23.0,623.0293333333335,33.678
23.1,623.3556666666668,33.72
23.2,623.6820000000001,33.762
23.3,624.0083333333334,33.80342857142857
23.4,624.3346666666667,33.844857142857144
23.5,624.6610000000002,33.88628571428571
23.6,624.9873333333335,33.92771428571429
23.7,625.3136666666668,33.969142857142856
23.8,625.6400000000001,34.01057142857143
23.9,625.9663333333334,34.052
24.0,626.2926666666667,34.09271428571429
24.1,626.6190000000001,34.133428571428574
24.2,626.9453333333335,34.17414285714286
24.3,627.2716666666668,34.21485714285714
24.4,627.5980000000001,34.25557142857143
24.5,627.9243333333334,34.296285714285716
24.6,628.2506666666668,34.337
24.7,628.5770000000001,34.373375
24.8,628.9033333333334,34.40975
24.9,629.2296666666667,34.446125
25.0,629.556,34.4825
25.1,629.8823333333333,34.518875
25.2,630.2086666666667,34.55525
25.3,630.5350000000001,34.591625
25.4,630.8613333333334,34.628
25.5,631.1876666666667,34.66985714285714
25.6,630.6848555555556,34.71171428571429
25.7,630.1820444444445,34.753571428571426
25.8,629.6792333333334,34.79542857142857
25.9,629.1764222222223,34.83728571428571
26.0,628.6736111111111,34.87914285714286
26.1,628.1708,34.921
26.2,627.6679888888889,34.96342857142857
26.3,627.1651777777778,35.005857142857145
26.4,626.6623666666667,35.04828571428572
26.5,626.1595555555556,35.090714285714284
26.6,625.6567444444444,35.13314285714286
26.7,625.1539333333333,35.17557142857143
26.8,624.6511222222222,35.218
26.9,624.1483111111111,35.257000000000005
27.0,623.6455,35.29600000000001
27.1,623.1426888888889,35.335
27.2,622.6398777777778,35.374
27.3,622.1370666666667,35.413000000000004
27.4,621.6342555555556,35.452
27.5,621.1314444444444,35.491
27.6,620.6286333333333,35.53071428571428
27.7,620.1258222222222,35.57042857142857
27.8,619.623011111111,35.610142857142854
27.9,619.1202,35.649857142857144
28.0,618.6173888888889,35.689571428571426
28.1,618.1145777777776,35.729285714285716
28.2,617.6117666666665,35.769
28.3,617.1089555555554,35.809571428571424
28.4,616.6061444444443,35.850142857142856
28.5,616.1033333333332,35.89071428571428
28.6,616.213,35.931285714285714
28.7,616.3226666666666,35.97185714285714
28.8,616.4323333333333,36.01242857142857
28.9,616.5419999999999,36.053
29.0,616.6516666666666,36.09828571428571
29.1,616.7613333333333,36.14357142857143
29.2,616.8709999999999,36.18885714285714
29.3,616.9806666666666,36.23414285714286
29.4,617.0903333333332,36.27942857142857
29.5,617.1999999999999,36.324714285714286
29.6,617.3096666666667,36.37
29.7,617.4193333333333,36.41657142857142
29.8,617.529,36.463142857142856
29.9,617.6386666666666,36.50971428571428
30.0,617.7483333333332,36.556285714285714
30.1,617.858,36.60285714285714
30.2,617.9676666666666,36.64942857142857
30.3,618.0773333333333,36.696
30.4,618.1869999999999,36.73828571428571
30.5,618.2966666666666,36.78057142857143
30.6,618.4063333333334,36.82285714285714
30.7,618.516,36.86514285714286
30.8,618.6256666666667,36.90742857142857
30.9,618.7353333333333,36.949714285714286
31.0,618.845,36.992
31.1,618.9546666666666,37.03885714285714
31.2,619.0643333333333,37.08571428571428
31.3,619.174,37.132571428571424
31.4,619.2836666666666,37.179428571428566
31.5,619.3933333333333,37.226285714285716
31.6,619.1156555555556,37.27314285714286
31.7,618.8379777777777,37.32
31.8,618.5603,37.364
31.9,618.2826222222222,37.408
32.0,618.0049444444444,37.452
32.1,617.7272666666667,37.496
32.2,617.4495888888889,37.54
32.3,617.1719111111111,37.583999999999996
32.4,616.8942333333333,37.628
32.5,616.6165555555556,37.67185714285714
32.6,616.3388777777777,37.715714285714284
32.7,616.0612,37.759571428571434
32.8,615.7835222222222,37.80342857142857
32.9,615.5058444444444,37.84728571428572
33.0,615.2281666666667,37.89114285714286
33.1,614.9504888888889,37.935
33.2,614.6728111111111,37.980000000000004
33.3,614.3951333333333,38.025
33.4,614.1174555555556,38.07
33.5,613.8397777777777,38.115
33.6,613.5621,38.160000000000004
33.7,613.2844222222222,38.205000000000005
33.8,613.0067444444444,38.25
33.9,612.7290666666667,38.29542857142857
34.0,612.4513888888889,38.340857142857146
34.1,612.1737111111111,38.38628571428571
34.2,611.8960333333333,38.431714285714285
34.3,611.6183555555556,38.47714285714285
34.4,611.3406777777777,38.522571428571425
34.5,611.063,38.568
34.6,610.5206222222222,38.60971428571428
34.7,609.9782444444444,38.65142857142857
34.8,609.4358666666667,38.69314285714285
34.9,608.8934888888889,38.73485714285714
35.0,608.3511111111111,38.77657142857143
35.1,607.8087333333333,38.818285714285715
35.2,607.2663555555555,38.86
35.3,606.7239777777778,38.91171428571428
35.4,606.1816,38.96342857142857
35.5,605.6392222222222,39.015142857142855
35.6,605.0968444444445,39.066857142857145
35.7,604.5544666666667,39.11857142857143
35.8,604.0120888888889,39.17028571428571
35.9,603.4697111111111,39.222
36.0,602.9273333333333,39.25928571428572
36.1,602.3849555555556,39.29657142857143
36.2,601.8425777777778,39.33385714285714
36.3,601.3002,39.37114285714286
36.4,600.7578222222223,39.408428571428566
36.5,600.2154444444445,39.44571428571428
36.6,599.6730666666667,39.483
36.7,599.1306888888889,39.52285714285714
36.8,598.5883111111112,39.562714285714286
36.9,598.0459333333334,39.60257142857143
37.0,597.5035555555556,39.64242857142857
37.1,596.9611777777778,39.68228571428571
37.2,596.4188,39.722142857142856
37.3,595.8764222222223,39.762
37.4,595.3340444444445,39.805285714285716
37.5,594.7916666666667,39.84857142857143
37.6,595.1651111111112,39.89185714285714
37.7,595.5385555555556,39.93514285714286
37.8,595.912,39.978428571428566
37.9,596.2854444444445,40.02171428571428
38.0,596.6588888888889,40.065
38.1,597.0323333333334,40.114
38.2,597.4057777777779,40.163
38.300000000000004,597.7792222222223,40.212
38.4,598.1526666666667,40.260999999999996
38.5,598.5261111111112,40.31
38.6,598.8995555555556,40.359
