"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 3"
"Sample Count: 663"
"Start Time: 19/11/2025 18:47:43.9"
"Scan Rate: 3.31200003623962"
"Sample","Time (s)","Winding Temp (°C)","Ambient (°C)","Stator Body (°C)"
"436","2:11.6","127.303","21.024","64.616"
"437","2:11.9","127.247","21.024","64.744"
"438","2:12.2","127.154","21.010","64.916"
"439","2:12.5","127.251","21.022","65.089"
"440","2:12.9","127.311","21.004","65.319"
"441","2:13.2","127.577","21.072","65.658"
"442","2:13.5","127.940","21.075","65.918"
"443","2:13.8","128.300","21.067","66.063"
"444","2:14.1","128.764","21.069","66.279"
"445","2:14.4","129.266","21.071","66.501"
"446","2:14.7","129.684","21.070","66.741"
"447","2:15.0","130.170","21.065","66.971"
"448","2:15.3","130.607","21.063","67.156"
"449","2:15.6","131.001","21.067","67.371"
"450","2:15.9","131.352","21.061","67.601"
"451","2:16.2","131.617","21.060","67.828"
"452","2:16.5","131.954","21.054","68.061"
"453","2:16.8","132.342","21.059","68.246"
"454","2:17.1","132.640","21.055","68.411"
"455","2:17.4","132.908","21.053","68.502"
"456","2:17.7","133.107","21.050","68.572"
"457","2:18.0","133.181","21.045","68.707"
"458","2:18.3","133.284","21.044","68.876"
"459","2:18.6","133.277","21.040","69.038"
"460","2:18.9","133.190","21.044","69.094"
"461","2:19.2","133.156","21.041","69.094"
"462","2:19.5","133.143","21.035","69.179"
"463","2:19.8","133.288","21.037","69.316"
"464","2:20.1","133.504","21.033","69.450"
"465","2:20.4","133.555","21.030","69.536"
"466","2:20.7","133.641","21.028","69.671"
"467","2:21.0","133.732","21.029","69.855"
"468","2:21.3","133.793","21.030","69.993"
"469","2:21.6","133.976","21.034","70.179"
"470","2:21.9","134.070","21.028","70.416"
"471","2:22.2","134.173","21.027","70.620"
"472","2:22.5","134.321","21.024","70.855"
"473","2:22.8","134.429","21.022","71.104"
"474","2:23.1","134.568","21.021","71.359"
"475","2:23.4","134.814","21.082","71.663"
"476","2:23.7","134.957","21.082","71.820"
"477","2:24.0","135.333","21.081","71.932"
"478","2:24.3","135.734","21.072","72.106"
"479","2:24.6","136.080","21.072","72.334"
"480","2:24.9","136.422","21.070","72.582"
"481","2:25.2","136.584","21.069","72.795"
"482","2:25.5","136.625","21.060","72.890"
"483","2:25.8","136.745","21.069","73.043"
"484","2:26.1","136.739","21.065","73.208"
"485","2:26.4","136.759","21.059","73.414"
"486","2:26.7","136.865","21.060","73.646"
"487","2:27.0","136.886","21.071","73.891"
"488","2:27.3","137.013","21.060","74.126"
"489","2:27.6","137.165","21.062","74.333"
"490","2:27.9","137.323","21.057","74.498"
"491","2:28.2","137.742","21.058","74.637"
"492","2:28.6","138.219","21.052","74.733"
"493","2:28.9","138.626","21.054","74.916"
"494","2:29.2","139.057","21.050","75.177"
"495","2:29.5","139.445","21.046","75.464"
"496","2:29.8","139.916","21.045","75.745"
"497","2:30.1","140.375","21.047","76.019"
"498","2:30.4","140.719","21.046","76.248"
"499","2:30.7","141.126","21.042","76.493"
"500","2:31.0","141.494","21.044","76.727"
"501","2:31.3","141.759","21.038","76.960"
"502","2:31.6","142.065","21.040","77.161"
"503","2:31.9","142.240","21.038","77.342"
"504","2:32.2","142.368","21.029","77.505"
"505","2:32.5","142.517","21.034","77.615"
"506","2:32.8","142.574","21.028","77.730"
"507","2:33.1","142.641","21.026","77.885"
"508","2:33.4","142.653","21.028","78.054"
"509","2:33.7","142.662","21.152","78.344"
"510","2:34.0","142.607","21.147","78.516"
"511","2:34.3","142.502","21.134","78.692"
"512","2:34.6","142.338","21.145","78.888"
"513","2:34.9","142.349","21.146","79.099"
"514","2:35.2","142.388","21.141","79.286"
"515","2:35.5","142.472","21.143","79.466"
"516","2:35.8","142.670","21.139","79.626"
"517","2:36.1","142.901","21.136","79.770"
"518","2:36.4","143.175","21.134","79.979"
"519","2:36.7","143.390","21.130","80.206"
"520","2:37.0","143.437","21.134","80.420"
"521","2:37.3","143.619","21.127","80.618"
"522","2:37.6","143.854","21.133","80.819"
"523","2:37.9","144.192","21.125","81.009"
"524","2:38.2","144.696","21.121","81.238"
"525","2:38.5","145.151","21.126","81.451"
"526","2:38.8","145.594","21.125","81.658"
"527","2:39.1","146.043","21.123","81.823"
"528","2:39.4","146.288","21.119","81.989"
"529","2:39.7","146.566","21.117","82.139"
"530","2:40.0","146.870","21.116","82.312"
"531","2:40.3","147.036","21.114","82.500"
"532","2:40.6","147.318","21.113","82.675"
"533","2:40.9","147.644","21.113","82.832"
"534","2:41.2","147.967","21.106","82.963"
"535","2:41.5","148.353","21.105","83.157"
"536","2:41.8","148.731","21.105","83.360"
"537","2:42.1","149.133","21.104","83.575"
"538","2:42.4","149.543","21.102","83.843"
"539","2:42.7","149.757","21.103","84.100"
"540","2:43.0","149.865","21.097","84.270"
"541","2:43.3","149.906","21.093","84.404"
"542","2:43.6","149.840","21.091","84.470"
"543","2:43.9","149.884","21.153","84.583"
"544","2:44.3","149.854","21.152","84.646"
"545","2:44.6","149.951","21.147","84.700"
"546","2:44.9","150.207","21.154","84.796"
"547","2:45.2","150.445","21.150","85.003"
"548","2:45.5","150.815","21.146","85.249"
"549","2:45.8","151.299","21.139","85.474"
"550","2:46.1","151.690","21.141","85.644"
"551","2:46.4","152.125","21.135","85.823"
"552","2:46.7","152.519","21.136","85.976"
"553","2:47.0","152.779","21.137","86.159"
"554","2:47.3","153.116","21.136","86.386"
"555","2:47.6","153.391","21.135","86.606"
"556","2:47.9","153.673","21.129","86.832"
"557","2:48.2","154.095","21.131","87.082"
"558","2:48.5","154.428","21.127","87.287"
"559","2:48.8","154.760","21.127","87.504"
"560","2:49.1","155.100","21.122","87.733"
"561","2:49.4","155.330","21.123","87.916"
"562","2:49.7","155.549","21.119","88.075"
"563","2:50.0","155.673","21.122","88.104"
"564","2:50.3","155.758","21.121","88.174"
"565","2:50.6","155.971","21.121","88.396"
"566","2:50.9","156.093","21.113","88.568"
"567","2:51.2","156.084","21.114","88.766"
"568","2:51.5","156.131","21.115","88.825"
"569","2:51.8","156.248","21.107","88.925"
"570","2:52.1","156.517","21.107","89.057"
"571","2:52.4","156.830","21.103","89.276"
"572","2:52.7","157.023","21.103","89.555"
"573","2:53.0","157.265","21.099","89.873"
"574","2:53.3","157.455","21.102","90.106"
"575","2:53.6","157.628","21.093","90.364"
"576","2:53.9","157.903","21.084","90.623"
"577","2:54.2","158.140","21.152","90.874"
"578","2:54.5","158.252","21.151","91.000"
"579","2:54.8","158.392","21.149","91.144"
"580","2:55.1","158.505","21.146","91.349"
"581","2:55.4","158.604","21.146","91.577"
"582","2:55.7","158.611","21.147","91.763"
"583","2:56.0","158.422","21.148","91.940"
"584","2:56.3","158.300","21.150","92.087"
"585","2:56.6","158.138","21.144","92.243"
"586","2:56.9","157.936","21.143","92.378"
"587","2:57.2","157.797","21.136","92.437"
"588","2:57.5","157.617","21.131","92.618"
"589","2:57.8","157.489","21.135","92.823"
"590","2:58.1","157.428","21.131","92.970"
"591","2:58.4","157.276","21.133","93.087"
"592","2:58.7","157.234","21.129","93.273"
"593","2:59.0","157.343","21.130","93.518"
"594","2:59.3","157.425","21.127","93.756"
"595","2:59.6","157.573","21.127","93.995"
"596","3:00.0","157.816","21.114","94.219"
"597","3:00.3","158.135","21.116","94.460"
"598","3:00.6","158.609","21.118","94.741"
"599","3:00.9","159.044","21.116","95.006"
"600","3:01.2","159.361","21.121","95.247"
"601","3:01.5","159.616","21.113","95.448"
"602","3:01.8","159.762","21.117","95.644"
"603","3:02.1","159.903","21.114","95.877"
"604","3:02.4","160.034","21.107","96.077"
"605","3:02.7","160.169","21.097","96.216"
"606","3:03.0","160.481","21.106","96.359"
"607","3:03.3","160.777","21.102","96.486"
"608","3:03.6","161.075","21.097","96.668"
"609","3:03.9","161.337","21.092","96.903"
"610","3:04.2","161.457","21.095","97.115"
