"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 7"
"Sample Count: 278"
"Start Time: 20/11/2025 15:09:57.4"
"Scan Rate: 1.4190000295639"
"Sample","Time (s)","PHC-inner (°C)","PHA-inner (°C)","PHA-interface (°C)","Ext-above-PHA (°C)","Ambient (°C)","Ext-above-PHC (°C)","Ext-above-PHA-tc2 (°C)"
"248","2:54.8","165.452","159.494","102.267","167.544","19.342","93.476","101.770"
"249","2:55.5","166.060","159.576","102.661","181.091","18.136","93.859","101.859"
"250","2:56.2","166.747","159.850","103.060","203.704","19.177","93.951","101.899"
"251","2:56.9","167.336","159.505","103.491","209.140","19.206","94.504","102.966"
"252","2:57.6","167.806","159.171","103.938","171.837","19.270","94.985","103.349"
"253","2:58.3","168.106","159.927","104.326","181.867","19.255","95.507","103.495"
"254","2:59.0","168.693","160.946","104.879","186.872","19.104","96.081","103.743"
"255","2:59.7","169.261","162.093","105.294","178.835","19.407","96.342","104.010"
"256","3:00.4","169.910","163.332","105.632","169.478","19.136","96.891","104.328"
"257","3:01.1","170.228","164.039","106.231","176.826","19.935","97.053","104.975"
"258","3:01.8","170.760","164.338","106.777","178.199","19.231","97.501","105.557"
"259","3:02.5","171.185","165.263","107.279","177.594","19.140","97.892","106.390"
"260","3:03.2","171.827","166.276","107.726","201.155","19.662","98.027","106.929"
"261","3:03.9","172.347","166.833","108.157","187.105","19.201","98.831","107.296"
"262","3:04.6","173.027","167.820","108.576","185.971","19.306","99.072","107.572"
"263","3:05.3","173.413","168.739","109.139","194.080","19.202","99.701","107.482"
"264","3:06.0","173.792","169.239","109.646","213.893","19.191","99.999","107.475"
"265","3:06.8","174.472","169.608","110.119","242.578","17.968","100.358","107.725"
"266","3:07.5","174.984","169.489","110.552","231.951","19.193","100.696","107.985"
"267","3:08.2","175.221","169.093","111.130","232.621","19.113","101.073","108.384"
"268","3:08.9","175.850","169.112","111.562","237.425","19.197","101.374","108.924"
"269","3:09.6","176.612","169.346","111.917","243.625","19.171","101.875","109.491"
"270","3:10.3","177.213","169.545","112.426","210.857","19.058","102.342","110.079"
"271","3:11.0","177.809","169.876","112.871","243.069","19.973","102.599","110.618"
"272","3:11.7","178.283","170.080","113.469","139.668","19.980","103.189","110.953"
"273","3:12.4","178.591","170.150","114.149","139.743","19.986","103.672","111.625"
"274","3:13.1","178.640","170.057","114.674","140.032","19.985","103.963","112.544"
"275","3:13.8","178.544","170.078","115.124","140.316","19.985","104.376","113.466"
"276","3:14.5","178.357","170.172","115.463","140.535","19.991","105.051","113.804"
"277","3:15.2","178.087","170.563","115.901","140.822","19.996","105.459","114.026"
