"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 3"
"Sample Count: 709"
"Start Time: 19/11/2025 16:36:52.6"
"Scan Rate: 3.31200003623962"
"Sample","Time (s)","Winding Temp (°C)","Ambient (°C)","Stator Body (°C)"
"543","2:43.9","142.981","20.705","86.748"
"544","2:44.3","143.180","20.724","86.961"
"545","2:44.6","143.490","20.700","87.140"
"546","2:44.9","143.701","20.696","87.287"
"547","2:45.2","143.951","20.694","87.470"
"548","2:45.5","144.187","20.695","87.664"
"549","2:45.8","144.409","20.709","87.808"
"550","2:46.1","144.833","20.697","88.052"
"551","2:46.4","145.311","20.680","88.353"
"552","2:46.7","145.764","20.694","88.589"
"553","2:47.0","146.317","20.702","88.800"
"554","2:47.3","146.791","20.694","89.035"
"555","2:47.6","147.238","20.684","89.282"
"556","2:47.9","147.728","20.684","89.513"
"557","2:48.2","148.181","20.683","89.727"
"558","2:48.5","148.653","20.680","89.942"
"559","2:48.8","149.178","20.681","90.170"
"560","2:49.1","149.556","20.674","90.330"
"561","2:49.4","149.925","20.680","90.441"
"562","2:49.7","150.183","20.664","90.537"
"563","2:50.0","150.198","20.674","90.519"
"564","2:50.3","150.347","20.675","90.590"
"565","2:50.6","150.547","20.692","90.734"
"566","2:50.9","150.688","20.675","90.916"
"567","2:51.2","150.948","20.701","91.097"
"568","2:51.5","150.966","20.663","91.212"
"569","2:51.8","151.047","20.665","91.360"
"570","2:52.1","151.249","20.676","91.449"
"571","2:52.4","151.273","20.663","91.521"
"572","2:52.7","151.311","20.664","91.658"
"573","2:53.0","151.316","20.657","91.777"
"574","2:53.3","151.202","20.664","91.893"
"575","2:53.6","151.287","20.652","91.993"
"576","2:53.9","151.340","20.653","92.112"
"577","2:54.2","151.350","20.710","92.331"
"578","2:54.5","151.365","20.712","92.470"
"579","2:54.8","151.382","20.714","92.582"
"580","2:55.1","151.528","20.724","92.754"
"581","2:55.4","151.693","20.710","92.964"
"582","2:55.7","151.733","20.719","93.129"
"583","2:56.0","151.824","20.731","93.248"
"584","2:56.3","151.914","20.728","93.320"
"585","2:56.6","151.920","20.695","93.315"
"586","2:56.9","152.100","20.675","93.366"
"587","2:57.2","152.338","20.714","93.600"
"588","2:57.5","152.684","20.698","93.848"
"589","2:57.8","153.139","20.688","94.171"
"590","2:58.1","153.514","20.698","94.495"
"591","2:58.4","153.838","20.709","94.827"
"592","2:58.7","154.031","20.583","95.188"
"593","2:59.0","154.080","20.701","95.474"
"594","2:59.3","154.138","20.712","95.723"
"595","2:59.6","154.175","20.699","95.962"
"596","3:00.0","154.205","20.699","96.188"
"597","3:00.3","154.377","20.667","96.405"
"598","3:00.6","154.595","20.667","96.553"
"599","3:00.9","154.811","20.676","96.812"
"600","3:01.2","155.043","20.685","97.114"
"601","3:01.5","155.019","20.674","97.371"
"602","3:01.8","154.953","20.692","97.590"
"603","3:02.1","154.940","20.676","97.700"
"604","3:02.4","154.947","20.668","97.821"
"605","3:02.7","155.118","20.669","97.935"
"606","3:03.0","155.219","20.664","98.038"
"607","3:03.3","155.349","20.667","98.176"
"608","3:03.6","155.627","20.660","98.331"
"609","3:03.9","155.814","20.668","98.543"
"610","3:04.2","155.983","20.663","98.776"
