"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 6"
"Sample Count: 348"
"Start Time: 20/11/2025 13:04:02.7"
"Scan Rate: 1.65600001811981"
"Sample","Time (s)","PHC-inner (°C)","PHA-inner (°C)","PHA-interface (°C)","Ext-above-PHA (°C)","Ambient (°C)","Ext-above-PHC (°C)"
"312","3:08.4","156.051","148.898","104.484","184.831","21.263","96.521"
"313","3:09.0","156.504","149.624","104.850","173.484","21.196","97.060"
"314","3:09.6","156.645","150.051","105.132","168.677","21.210","97.545"
"315","3:10.2","156.926","150.350","105.328","169.980","21.248","98.044"
"316","3:10.8","157.711","150.660","105.646","192.056","21.898","98.328"
"317","3:11.4","158.039","151.214","106.029","191.045","21.255","98.718"
"318","3:12.0","158.126","151.555","106.266","175.387","21.097","99.124"
"319","3:12.6","158.905","151.707","106.708","197.630","21.189","99.310"
"320","3:13.2","159.502","152.003","106.964","177.598","21.207","99.723"
"321","3:13.8","159.605","152.326","107.335","196.331","21.095","100.092"
"322","3:14.4","160.169","152.662","107.626","181.746","21.865","100.353"
"323","3:15.0","160.947","152.928","108.004","193.083","21.213","100.569"
"324","3:15.7","161.451","153.437","108.352","190.311","21.127","100.893"
"325","3:16.3","161.655","154.137","108.656","196.520","21.153","101.330"
"326","3:16.9","162.110","154.135","109.164","230.982","21.086","101.702"
"327","3:17.5","163.043","154.112","109.525","205.803","21.757","101.442"
"328","3:18.1","163.431","154.531","109.611","212.987","21.115","102.173"
"329","3:18.7","163.800","154.863","110.307","233.245","21.219","102.077"
"330","3:19.3","164.496","154.892","110.919","225.366","21.379","102.193"
"331","3:19.9","165.119","154.861","111.232","200.181","21.035","102.566"
"332","3:20.5","165.564","155.535","111.246","219.188","21.131","102.972"
"333","3:21.1","165.840","156.100","111.583","199.647","21.240","103.229"
"334","3:21.7","166.614","156.589","111.912","239.246","21.207","103.597"
"335","3:22.3","167.222","157.423","112.347","220.126","20.124","103.761"
"336","3:22.9","167.520","158.265","112.675","198.679","19.876","104.189"
"337","3:23.5","167.877","158.782","113.098","211.343","21.221","104.542"
"338","3:24.1","168.630","159.340","113.451","231.262","21.112","104.743"
"339","3:24.7","169.293","160.149","113.638","223.382","21.131","105.258"
"340","3:25.3","169.386","161.045","113.950","196.165","21.218","105.481"
"341","3:25.9","170.115","161.541","114.328","227.073","21.103","105.906"
"342","3:26.5","170.724","162.364","114.676","213.543","21.215","106.057"
"343","3:27.1","171.086","163.081","115.005","77.458","21.724","106.496"
"344","3:27.7","171.590","163.675","115.337","140.293","22.037","106.641"
"345","3:28.3","171.897","163.578","115.623","140.353","22.036","106.843"
"346","3:28.9","172.059","163.579","116.058","140.556","22.033","107.103"
"347","3:29.5","172.122","163.446","116.365","140.748","22.031","107.418"
